INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201703,410701,DWELLING INSURANCE,2,0,102.038,101.619,101.619,0,3.84,0
201703,310102,DRAUGHT BITTER (PER PINT),1,1,100.859,100.857,100.859,4.4,4.18,3.5
201703,210201,FLOUR-SELF-RAISING-1.5KG,1,1,102.536,102.492,102.536,0.3,0.12,0.24
201703,210302,PLAIN BISCUITS-200-300G,1,1,101.85,102.236,101.85,1.35,1.62,1.08
201703,211501,CHEDDAR-HOME PRODUCED PER KG,1,1,102.845,103.335,102.845,1.8,1.59,1.35
201703,610101,3-YEAR-OLD SECOND-HAND CAR,1,0,99.842,99.842,99.842,9,12.42,7
201703,440250,PACKAGED CURRENT ACCOUNTS,1,2,100,100,100,1.26,0.22,0.99
201703,213006,COFFEE PODS PACK 8-16,1,1,105.787,105.206,105.787,0.24,0.26,0.24
201703,212712,KIWI FRUIT-EACH,1,1,103.221,102.233,103.221,0.18,0.21,0.14
201703,630229,PRE-RECORDED DVD (NON-FILM),2,2,96.422,94.231,94.231,0.32,0.16,0.32
201703,520241,RAZOR CARTRIDGE BLADES,1,1,101.044,101.116,101.044,0.72,0.45,0.57
201703,212107,HONEY JAR/BOTTLE 340G,1,1,96.863,96.893,96.863,0.26,0.16,0.2
201703,440236,UNIT TRUSTS COMM-INITIAL CHG,1,0,100.196,100.196,100.196,1.12,0,0.88
201703,640228,LEISURE CLASSES,1,0,100,100,100,3.9,4,3.12
201703,430140,SOFA BED,2,1,107.607,106.427,106.427,0.72,1.04,0.6
201703,430531,FABRIC CONDITIONER 500ML-1.5LT,1,1,100.438,98.315,100.438,0.4,0.44,0.32
201703,630309,BOXED BOARD GAME: NOT TRAVEL,2,1,105.11,103.578,103.578,1.26,0.18,0.96
201703,410401,E & W SEWERAGE CHARGE,2,0,100,100,100,5.4,6.11,4.5
201703,520206,TAMPONS-PACK OF 10-20,1,1,103.196,103.102,103.196,1.68,0.9,1.33
201703,630525,PLANT FOOD 800ML-2LT/500G-1.5K,1,1,101.052,101.06,101.052,0.25,0.3,0.2
201703,310401,WHISKY-70 CL BOTTLE,1,1,99.694,99.632,99.694,2.16,1.82,1.8
201703,510506,WOMEN'S SANDALS,2,1,122.931,114.693,114.693,0.88,0.48,0.72
201703,640226,PRIVATE HEALTH CLUB ANNUAL FEE,2,2,99.351,99.195,99.195,2.1,2.24,1.68
201703,420405,KEROSENE - 1000L DELIVERED,2,1,93.687,93.507,93.507,1,1.6,1
201703,410508,PLUMBER-DAYTIME HOURLY RATE,2,1,100.188,100.176,100.176,0.35,3.06,0.35
201703,211011,INDIVIDUAL MEAT PIE,1,1,99.317,99.64,99.317,0.8,0.66,0.64
201703,430101,DOUBLE WARDROBE,2,1,107.558,106.169,106.169,1.08,1.56,0.9
201703,212719,BANANAS-PER KG,1,1,99.993,99.988,99.993,0.9,0.84,0.7
201703,320124,E-CIG REFILL BOTTL/CART 2-10ML,1,1,101.14,101.08,101.14,0.23,0.2,0.18
201703,630155,DVD PLAYER,2,1,108.568,108.001,108.001,0.08,0.06,0.06
201703,211816,POWDERED BABY FORMULA 400-900G,1,1,100.81,100.81,100.81,0.48,0.44,0.36
201703,630228,PRE-RECORDED DVD (FILM),2,2,97.291,96.625,96.625,0.84,0.4,0.84
201703,620317,CHILDS BICYCLE,2,1,109.361,107.3,107.3,0.99,0.51,0.66
201703,430422,PLAIN GLASS TUMBLER,1,1,104.405,103.041,104.405,0.54,0.36,0.36
201703,640127,DVD RENT/VID ON DEM SUBS SERVS,2,0,100,100,100,0.22,0.12,0.18
201703,212918,FRZN READY-COOKD MEAL SERVES 1,1,1,102.12,102.233,102.12,0.18,0.55,0.12
201703,213005,HOT CHOCOLATE DRINK INSTANT,1,1,95.805,96.105,95.805,0.27,0.2,0.27
201703,212722,GRAPES-PER KG,1,1,101.986,102.664,101.986,0.9,0.84,0.7
201703,620315,CAR PARK CHARGES,2,1,100.385,100.356,100.356,0.84,0.85,0.66
201703,510238,WOMEN'S SKIRT: WORK/FORMAL,2,1,107.107,99.747,99.747,1.65,0.9,1.32
201703,430407,"SMALL SAUCEPAN,MILK",2,1,104.465,103.478,103.478,0.84,0.6,0.56
201703,440406,SUBSCRIPTION TO INTERNET,1,0,100,100,100,0.72,0.78,0.6
201703,212725,SMALL TYPE ORANGES PER PACK/KG,1,1,111.314,112.331,111.314,0.27,0.21,0.21
201703,520319,LA SUPPORTED RES IN RET HOMES,1,0,100.251,100.251,100.251,0.96,0,0.78
201703,310315,BOTTLE OF WINE 70-75CL,1,1,100.422,100.399,100.422,3.52,3.8,2.8
201703,430135,3 PIECE NON-LEATHER SUITE,2,1,112.476,110.784,110.784,0.9,1.3,0.75
201703,610227,"CAR MOT TEST FEE, VAT EXEMPT",2,1,99.876,99.724,99.724,0.98,0.8,0.77
201703,430356,DISH WASHER 12-15 PLACE SET,2,1,101.006,100.6,100.6,0.21,0.18,0.18
201703,430228,BATH SHEET,2,1,107.834,106.151,106.151,1.19,0.6,1.02
201703,210111,WHITE SLICED LOAF BRANDED 750G,1,1,102.14,102.185,102.14,0.9,1.16,0.72
201703,630373,JIGSAW MINIMUM 100 PIECES,2,1,101.123,100.407,100.407,0.63,0.18,0.48
201703,610207,MOTOR-CAR SPARE PARTS,2,0,100,100,100,1.2,0.8,0.96
201703,211808,CHILLED POT DESSERT 125-200G,1,1,99.848,98.933,99.848,0.72,0.8,0.54
201703,510130,MENS 3/4 TO FULL LENGTH COAT,2,1,103.594,96.973,96.973,1.1,0.48,0.88
201703,510109,MEN'S FORMAL SHIRT-LONG SLEEVE,2,1,108.091,105.98,105.98,1.1,0.56,0.88
201703,630348,WATERSPORTS EQUIPMENT,2,0,100,100,100,1.2,0.27,1.04
201703,211105,FRESH FISH-SALMON FILLETS-KG,1,1,108.402,109.777,108.402,0.8,0.88,0.6
201703,440301,POSTAGE CHARGES,1,0,100,100,100,1,1,1
201703,212226,CHOCOLATE 12,1,1,100.508,100.948,100.508,0.39,1.1,0.3
201703,410621,VARNISH-CLEAR GLOSS-750ML-1LTR,1,1,101.248,101.327,101.248,0.05,0.18,0.05
201703,220117,BOTTLED MINERAL WATER,1,1,100.302,100.198,100.302,0.88,1.16,0.7
201703,430505,ALUMINIUM COOKING FOIL 300MM,1,1,99.869,99.912,99.869,0.2,0.44,0.16
201703,212937,CHILLED READY MEAL-FISH/VEG,1,1,101.642,101.746,101.642,0.42,1.32,0.28
201703,630233,BLU RAY DISC (FILM) FROM CHART,2,2,102.994,100.274,100.274,0.28,0.14,0.28
201703,610239,EXHAUST FITTING FAST FIT CENT,2,1,100.977,100.934,100.934,2,0.96,1.6
201703,310112,BOTTLE OF LAGER IN NIGHTCLUB,1,1,101.181,101.114,101.181,1.76,1.14,1.4
201703,220128,RESTAURANT MAIN COURSE,1,1,100.823,100.811,100.823,5.28,4.93,4.2
201703,630345,GOLF BALLS PRICE PER BALL,1,1,102.027,101.771,102.027,0.48,0.27,0.48
201703,320108,CIGARETTES 8,1,1,102.36,102.348,102.36,3.22,3.2,2.52
201703,630127,PERSONAL COMPUTERS (CPI),2,0,104.609,104.376,104.376,0.42,0.24,0.3
201703,510128,MEN'S BRANDED SPORT SWEATSHIRT,2,1,101.584,100.904,100.904,0.55,0.4,0.44
201703,610221,WINDSCREEN WIPER BLADES,2,1,98.707,98.196,98.196,1,0.64,0.8
201703,211023,COOKED HAM PREPACKED SLICED,1,1,101.587,100.808,101.587,2.4,1.14,1.92
201703,440240,BASIC WILL FOR A SINGLE PERSON,2,2,100.981,100.895,100.895,1.08,0.22,0.9
201703,220212,STAFF RESTAURANT SANDWICH,1,1,99.812,99.812,99.812,1.6,0.45,1.4
201703,430138,HOME OFFICE DESK,2,1,105.561,104.815,104.815,0.36,0.52,0.3
201703,430227,LAMINATE FLOORING PER SQ M,2,2,107.025,105.409,105.409,0.32,0.7,0.24
201703,640303,FOREIGN HOLIDAYS-INSURANCE,2,0,100,100,100,0.28,0.8,0.21
201703,520245,ANTIHISTAMINE ALLERGY TABLETS,1,1,100.818,100.773,100.818,0.91,0.3,0.78
201703,212910,CANNED SOUP-390-425G,1,1,115.356,115.895,115.356,0.36,0.66,0.24
201703,620302,TAXI FARES,2,0,100,100,100,1.8,1.19,1.5
201703,212940,PROTEIN POWDER 900G-2KG,1,1,97.531,97.806,97.531,0.12,0.22,0.08
201703,430419,STAINLESS STEEL CUTLERY SET,2,1,104.061,103.414,103.414,0.3,0.2,0.2
201703,510117,MEN'S FORMAL RDY-MADE TROUSERS,2,1,112.363,106.764,106.764,0.55,0.24,0.44
201703,520131,GENT'S WATCH- ANALOGUE FACE,2,1,106.704,105.086,105.086,1.8,0.54,1.4
201703,212717,APPLES-DESSERT-PER KG,1,1,102.911,103.381,102.911,0.81,0.77,0.63
201703,410115,PRIVATE RENTED PROPERTY,2,0,100.241,100.126,100.126,41.18,51.24,32.48
201703,220214,STAFF RESTAURANT MAIN COURSE,1,1,100.439,100.272,100.439,1.6,0.45,1.4
201703,420101,COAL-HOUSEHOLD BEST QUAL 50KG,1,1,100.731,100.73,100.731,0.69,0.69,0.69
201703,630225,MUSIC DOWNLOADS,1,0,102.509,104.123,104.123,0.68,0.34,0.68
201703,630365,CRAFT KIT FOR CHILD 5 YRS+,2,1,103.961,103.192,103.192,1.26,0.36,0.96
201703,220325,VENDING MACHINE - SOFT DRINK,1,1,100.362,100.433,100.362,0.88,0.32,0.7
201703,510120,MEN'S JUMPER OR SWEATSHIRT,2,1,104.154,100.557,100.557,1.1,0.48,0.88
201703,212533,VEGETABLE STIR FRY FRESH PACK,1,1,100.836,101.195,100.836,0.39,0.42,0.3
201703,510257,WOMENS BLOUSE / SHIRT 2,2,1,113.1,107.773,107.773,0.55,0.45,0.44
201703,420103,SMOKELESS FUEL 50KG,1,1,100.044,100.044,100.044,0.31,0.31,0.31
201703,630518,CUT FLOWERS-CARNATIONS-STEM,1,1,101.926,101.822,101.926,1.85,1.74,1.48
201703,220323,KEBAB- TAKEAWAY,1,1,100.438,100.47,100.438,1.76,1.28,1.4
201703,440113,WINDOW-CLEAN 3-BED SEMI,2,1,100.377,100.359,100.359,0.96,0.9,0.72
201703,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,101.746,100.853,101.746,0.9,0.96,0.72
201703,440116,WASHING MACHINE REPAIR,2,1,100.537,100.491,100.491,0.5,0.15,0.5
201703,210808,BACON-BACK-PER KG,1,1,96.707,97.609,96.707,1.6,0.76,1.28
201703,210114,CHILLED GARLIC BREAD,1,1,101.169,100.523,101.169,0.75,0.88,0.6
201703,510340,GIRLS FASHION TOP 12-13 YEARS,2,1,101.002,98.628,98.628,1.1,0.5,0.88
201703,430235,FLOOR RUG STATE SIZE & MATERIA,2,2,102.65,101.607,101.607,0.92,1.5,0.69
201703,610110,CARAVANS,1,0,100,100,100,7.8,1.84,6.76
201703,212518,FRESH VEG-CARROTS-PER KG,1,1,102.642,103.047,102.642,0.39,0.42,0.3
201703,212807,CANNED FRUIT-400-450G,1,1,100.407,100.437,100.407,0.36,0.32,0.28
201703,212729,BLUEBERRIES PUNNET PER KG,1,1,101.538,103.307,101.538,0.54,0.49,0.42
201703,520324,RESIDENTIAL HOME,2,1,100.698,100.658,100.658,3.52,0.14,2.86
201703,440105,DRIVING LESSON 1 HOUR,1,1,100.442,100.417,100.442,0.7,0.9,0.55
201703,430216,DUVET COVER,2,1,103.446,101.699,101.699,1.19,0.5,1.02
201703,430361,WASHING MACH NO DRYER MAX 1800,2,1,103.023,102.482,102.482,1.47,0.96,1.26
201703,310429,GIN BOTTLE 70CL-1LTR,1,1,98.229,98.911,98.229,0.6,0.56,0.5
201703,630407,SUNDAY NEWSPAPERS,1,0,100,100,100,0.44,0.42,0.33
201703,630359,DIGITAL DEVELOPMENT PER PRINT,2,2,105.297,104.528,104.528,0.88,0.36,0.72
201703,510208,WOMEN'S FORMAL JACKET,2,1,123.689,111.607,111.607,1.1,0.75,0.88
201703,630507,HOUSEPLANT,1,1,101.262,100.187,101.262,0.4,0.36,0.32
201703,610102,2-YEAR-OLD SECOND-HAND CAR,1,0,100.77,100.77,100.77,9,12.42,7
201703,430518,REFUSE SACK FROM PACK OF 10-20,1,1,100.189,100.156,100.189,0.3,0.44,0.24
201703,212015,FIZZY ENERGY DRINK 250-500ML,1,1,96.562,96.237,96.562,1.17,0.96,0.91
201703,520109,LADIES HAND/SHLDER BAG,2,1,104.297,102.697,102.697,1.65,0.72,1.32
201703,510118,MEN'S CASUAL TROUSERS,2,1,104.966,102.434,102.434,1.1,0.56,0.88
201703,212224,"SWEETS, NOT CHOC, 150-250G BAG",1,1,100.673,100.429,100.673,0.78,1.21,0.6
201703,212939,CHILLED PIZZA EACH 300-600G,1,1,102.529,103.273,102.529,0.9,1.32,0.72
201703,310427,RUM WHITE EG BACARDI 70CL BOTT,1,1,103.545,103.757,103.545,0.6,0.56,0.5
201703,640305,FOREIGN HOLIDAYS-SELF CATERING,2,0,100.308,100.25,100.25,10.15,12,8.12
201703,640124,TV LICENCE,1,0,100,100,100,4.18,6.84,3.42
201703,430413,GAS FIRE,2,2,101.362,101.311,101.311,0.63,0.2,0.54
201703,610212,CAR BATTERY,2,1,101.031,100.939,100.939,0.95,0.64,0.76
201703,510219,WOMEN'S CASUAL OUTER JACKET,2,1,111.603,103.42,103.42,1.65,1.05,1.32
201703,430357,SMART PHONE HANDSETS,2,0,95.103,94.16,94.16,0.24,0.78,0.2
201703,520139,DAILY DISPOSABLE SOFT LENSES,2,1,100.593,100.564,100.564,1.75,1.17,1.4
201703,510533,WOMENS SHOE,2,1,105.8,102.695,102.695,1.54,0.8,1.26
201703,430409,SCISSORS - HOUSEHOLD,2,1,102.155,101.86,101.86,0.84,0.6,0.56
201703,440208,HOUSE CONTENTS INSURANCE,2,0,99.888,99.38,99.38,1.5,3.3,1.5
201703,430617,ANIMAL CAGE (E.G FOR GERBIL),2,1,100.712,100.397,100.397,0.4,0.72,0.35
201703,211407,MARGARINE/LOW FAT SPREAD-500G,1,1,109.175,110.453,109.175,0.76,0.52,0.76
201703,520325,NURSING HOME,2,1,100.629,100.606,100.606,3.2,0.14,2.4
201703,220111,BURGER IN BUN-EAT IN,1,1,100.474,100.389,100.474,4.4,4.93,3.5
201703,430234,CARPET TUFTED MIN 80% WOOL FIB,2,2,101.693,101.04,101.04,0.92,1.5,0.69
201703,510245,WOMENS DRESS -CASUAL/FORMAL,2,1,123.756,113.341,113.341,1.65,0.9,1.32
201703,640309,FOREIGN HOLIDAYS-COACH HOLIDAY,2,0,100.905,100.885,100.885,0.7,0.8,0.56
201703,430513,DRYCELL BATTERY-PACK OF 4,1,1,101.214,100.857,101.214,0.85,0.55,0.68
201703,520323,FULL LEG WAX (BOTH LEGS),2,1,99.918,99.915,99.915,0.64,0.56,0.48
201703,212730,FRUIT FRESH SNACKING 150-350G,1,1,100.781,100.778,100.781,0.18,0.21,0.14
201703,630438,EBOOKS,1,2,119.84,114.786,114.786,0.27,0.3,0.27
201703,310220,SPEC'Y BEER BOTT 500ML 4-5.5,1,1,98.163,97.832,98.163,0.25,0.2,0.2
201703,520251,COUGH LIQUID BOTTLE 150-200MLS,1,1,101.576,101.681,101.576,0.84,0.3,0.72
201703,210319,DOUGHNUT-EACH,1,1,101.874,102.144,101.874,0.75,0.84,0.6
201703,440104,DRY CLEANING-MAN'S SUIT,1,1,100.296,100.286,100.296,0.83,0.45,0.83
201703,212534,SWEET POTATO PER KG,1,1,101.069,101.256,101.069,0.26,0.42,0.2
201703,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,99.375,99.248,99.375,0.6,0.68,0.48
201703,212222,CHOCOLATE 10,1,1,100.723,100.662,100.723,1.69,1.32,1.3
201703,510131,MENS CASUAL SHIRT,2,1,107.253,103.064,103.064,0.55,0.4,0.44
201703,520327,NHS DENTAL CHARGES,1,0,100,100,100,1.5,1.54,1
201703,440251,OPEN UNIVERSITY FEES,1,0,100,100,100,0,0,0
201703,520246,LIP GLOSS,2,1,98.794,98.502,98.502,0.96,0.6,0.76
201703,510501,MENS SHOE FORMAL STYLE,2,1,103.423,101.53,101.53,0.44,0.4,0.36
201703,212202,MINTS,1,1,100.354,100.366,100.354,0.13,0.11,0.1
201703,211709,SHOP MILK-WHOLE MILK-4PT/2LTR,1,1,99.318,99.537,99.318,0.72,0.48,0.54
201703,510535,CANVAS FASHION ADULT SHOE/TRAI,2,1,107.861,104.013,104.013,0.66,0.64,0.54
201703,220305,TEA -TAKE-AWAY,1,1,100.39,100.299,100.39,0.88,0.32,0.7
201703,440257,HOUSEHLD SERVICES MAINT POLICY,2,0,100,100,100,0.5,1.1,0.5
201703,210905,FRESH/CHILLED CHICKEN  PER KG,1,1,101.957,102.047,101.957,0.6,0.54,0.48
201703,630505,GARDEN SPADE,2,1,104.259,102.165,102.165,0.5,0.6,0.4
201703,212001,"FRUIT SQUASH, 750ML - 1.5LT",1,1,94.686,94.741,94.686,0.99,0.8,0.77
201703,210215,CEREAL BAR,1,1,123.903,128.387,123.903,0.45,0.3,0.36
201703,640211,HISTORIC MONUMENTS - ADMISSION,1,0,100,100,100,0.66,0.16,0.54
201703,620313,ROAD TOLLS,1,0,100,100,100,0.7,0.68,0.55
201703,510344,GIRLS TROUSERS NOT DENIM 5-13,2,1,104.907,102.095,102.095,1.1,0.5,0.88
201703,430211,DUVET-DOUBLE TOG 10-13.5,2,1,103.189,102.1,102.1,1.12,0.5,0.96
201703,210802,BACON-GAMMON-PER KG,1,1,99.21,99.157,99.21,0.6,0.24,0.48
201703,320125,CIGARETTES 21,1,1,106.497,106.497,106.497,4.6,4.6,3.6
201703,310421,RED WINE- EUROPEAN 75CL,1,1,98.056,97.876,98.056,1.08,1.12,0.84
201703,310109,LAGER - PINT 3.4-4.2%,1,1,101.12,101.189,101.12,5.28,5.13,4.2
201703,430127,CHEST OF DRAWERS,2,1,110.581,109.264,109.264,0.9,1.3,0.75
201703,510433,MENS BASE LAYER TOP LONG/SHORT,2,1,105.984,100.936,100.936,0.55,0.25,0.44
201703,510330,BABYGRO OR SLEEPSUIT,2,1,102.98,101.197,101.197,0.55,0.45,0.44
201703,213001,COFFEE: GROUND: FILTER FINE,1,1,100.71,100.785,100.71,0.27,0.3,0.27
201703,410629,WALLPAPER PER ROLL,1,1,102.74,102.183,102.74,0.13,0.48,0.13
201703,220321,TAKEAWAY COFFEE LATTE,1,1,101.052,101.013,101.052,0.88,0.32,0.7
201703,212709,ORANGES-CLASS 1-EACH,1,1,103.732,104.075,103.732,0.27,0.28,0.21
201703,510534,WALKING/HIKING BOOT,2,1,106.591,104.359,104.359,0.88,0.88,0.72
201703,220125,FRUIT JUICE BOTTLE 250-350ML,1,1,100.934,100.917,100.934,0.88,1.16,0.7
201703,440131,WATCH BATTERY REPLACEMENT,2,1,100.13,100.007,100.007,0.63,0.15,0.49
201703,211509,HARD REGIONAL CHEESE PER KG,1,1,102.341,102.857,102.341,0.24,0.24,0.18
201703,630408,NATIONAL DAILY NEWSPAPERS,1,0,100.792,100.792,100.792,1.44,1.38,1.08
201703,440231,PASSPORT FEES,1,0,100,100,100,0.24,0.22,0.2
201703,630234,COMPUTER SOFTWARE,2,0,110.24,104.493,104.493,1.12,0.22,0.8
201703,211207,"CANNED FISH, TUNA, 130G-200G",1,1,111.325,110.98,111.325,0.92,0.96,0.69
201703,440126,WEEKLY NANNY FEES,2,1,100.401,100.272,100.272,5.28,2.4,3.96
201703,640403,YOUTH HOSTEL ASSOCIATION,1,0,100.562,100.562,100.562,0.9,0.11,0.72
201703,420404,BUTANE GAS,1,0,100,100,100,0.3,0.4,0.24
201703,410108,RSL RENTS,1,2,100,100,100,17.04,21,13.44
201703,630232,INTERNET BLU-RAY DISC,1,0,95.256,95.563,95.563,0.12,0.06,0.12
201703,310419,WHITE WINE- EUROPEAN 75CL,1,1,101.591,100.985,101.591,1.26,1.4,0.98
201703,630435,BOOK - FICTION - HARD COVER,2,2,108.369,103.275,103.275,0.3,0.18,0.3
201703,220320,TAKEAWAY SOFT DRINK,1,1,100.108,100.113,100.108,0.88,0.32,0.7
201703,520248,CONDITIONER FOR HAIR,1,1,99.116,99.466,99.116,0.48,0.3,0.38
201703,310302,VODKA (PER NIP) SPECIFY ML,1,1,101.395,101.365,101.395,3.52,4.94,2.8
201703,410625,SCREWDRIVER,2,1,102.745,102.511,102.511,0.4,0.3,0.32
201703,320115,CIGARETTES 15,1,1,101.044,101.015,101.044,7.13,7,5.58
201703,520136,PHOTO FRAME,2,1,108.212,105.739,105.739,0.9,0.63,0.72
201703,440202,ESTATE AGENT FEES (PERCENTAGE),1,0,97.916,97.916,97.916,0,2.2,0
201703,210212,BASMATI RICE 500G-1KG,1,1,108.131,106.503,108.131,0.3,0.45,0.24
201703,640407,CPI ACCOMODATION SERVICE PROXY,1,0,100.47,100.47,100.47,16.2,0,12.96
201703,430351,ELECTRIC HAIR STYLING APP,2,1,104.175,101.724,101.724,0.72,0.3,0.57
201703,220326,TAKEAWAY CHICKEN & CHIPS,1,1,100.732,100.97,100.732,1.76,1.28,1.4
201703,410112,IMPUTED RENTS - WALES,1,0,100.038,100.038,100.038,0,0,5.22
201703,520123,EARRINGS- FASHION,2,1,107.171,103.955,103.955,0.63,0.18,0.49
201703,220316,PIZZA TAKEAWAY OR DELIVERED,1,1,101.684,101.689,101.684,1.76,1.28,1.4
201703,510432,LADY'S SCARF,2,1,101.552,95.995,95.995,1.65,0.55,1.32
201703,510236,WOMEN'S TROUSERS-FORMAL,2,1,106.216,102.194,102.194,2.2,1.2,1.76
201703,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,102.524,102.314,102.524,1,1.48,0.8
201703,520330,SELF PAY OPERATIONS,1,0,100,100,100,1.6,0.42,1.2
201703,630333,COMPUTER GAMES CONSOLE,1,0,104.106,104.106,104.106,2.73,0.54,2.08
201703,310217,LAGER 12-24 BOTTLE (250-300ML),1,1,104.952,104.58,104.952,1,0.8,0.8
201703,610232,CAR SERVICE- MAIN DEALER,2,1,100.679,100.575,100.575,2.25,0.96,1.8
201703,610409,VEHICLE EXCISE DUTY,1,0,100,100,100,7,6,5.5
201703,630425,BOOK-NON-FICTION-HARD-COVER,2,2,116.944,113.331,113.331,0.66,0.36,0.66
201703,640304,FOREIGN HOLIDAYS-LATE BOOKING,2,0,99.019,98.789,98.789,5.6,6.8,4.48
201703,211027,H K LIVER PER KG STATE TYPE,1,1,101.235,100.976,101.235,0.2,0.06,0.16
201703,220303,SANDWICH-TAKE-AWAY (COLD),1,1,101.001,100.855,101.001,3.52,2.56,2.8
201703,212718,PEARS-DESSERT-PER KG,1,1,105.377,107.411,105.377,0.27,0.28,0.21
201703,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,101.676,101.897,101.676,0.75,0.84,0.6
201703,520209,TOOTHPASTE (SPECIFY SIZE),1,1,97.172,96.951,97.172,1.68,0.9,1.33
201703,430515,PACKET OF ENVELOPES,1,1,100.833,101.221,100.833,0.52,0.44,0.39
201703,211024,CONTINENTAL SLICED DELI MEAT,1,1,100.092,101.051,100.092,1,0.42,0.8
201703,510132,MEN'S T-SHIRT SHORT SLEEVED,2,1,112.566,106.662,106.662,0.55,0.48,0.44
201703,510104,MENS JACKET/COAT,2,1,102.781,98.079,98.079,1.1,0.64,0.88
201703,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,100.901,100.698,100.901,0.8,1.32,0.64
201703,510402,MEN'S PANTS/BOXER SHORTS,2,1,101.963,101.386,101.386,0.55,0.45,0.44
201703,430139,KITCH WALL UNIT WIDTH 800-1000,2,1,104.482,102.756,102.756,1.44,2.34,1.2
201703,430509,HOUSEHOLD CLEANER CREAM/LIQUID,1,1,96.284,97.658,96.284,1.05,1.1,0.84
201703,520226,SHAMPOO-250-400ML,1,1,100.647,101.652,100.647,0.72,0.3,0.57
201703,640229,GOLF GREEN FEES,1,0,100,100,100,0.5,0.48,0.4
201703,220310,POTATO CRISPS-INDIVIDUAL PACK,1,1,100.656,100.705,100.656,0.88,0.96,0.7
201703,620303,SELF-DRIVE VAN HIRE,2,1,99.188,98.847,98.847,1.68,0.17,1.32
201703,510405,WOMEN'S NIGHTDRESS/PYJAMAS,2,1,99.722,95.962,95.962,1.1,0.45,0.88
201703,212211,CHOCOLATE 4,1,1,99.379,99.185,99.379,1.17,1.65,0.9
201703,212603,"BAKED BEANS, 400-420G TIN",1,1,114.446,111.898,114.446,0.39,0.54,0.3
201703,430529,BLEACH 750ML,1,1,101.912,103.44,101.912,1.05,1.1,0.84
201703,440239,UK UNIVERSITY TUITION FEES,2,0,100,100,100,9.9,4.62,7.65
201703,220210,SECONDARY SCHOOL- CAFETERIA,1,1,100,100,100,0.96,0.6,0.84
201703,520227,PAIN KILLER TABLETS-16-24 PACK,1,1,98.194,98.035,98.194,1.26,0.45,1.08
201703,520306,PRIVATE HEALTH CARE 2,1,0,100,100,100,0.42,0.7,0.42
201703,211211,FROZEN BREAD/BAT FISH 400-550G,1,1,104.068,103.871,104.068,0.16,0.18,0.12
201703,520331,BASIC MANICURE,2,1,100.542,100.475,100.475,0.8,0.7,0.6
201703,440230,UNI (INTL STUDENT) TUITION,1,0,100,100,100,3.74,0,2.89
201703,310219,STOUT - 4 CAN PACK,1,1,99.065,99.13,99.065,0.15,0.1,0.12
201703,430625,WILD BIRD SEED PACK 500G-2KG,1,1,97.916,99.637,97.916,0.24,0.24,0.21
201703,630353,CHILD'S TRIKE FOR UNDER 5'S,2,1,102.349,101.84,101.84,0.63,0.18,0.48
201703,410509,ELECTRICIAN-DAYTIME RATE/HOUR,2,1,100.198,100.181,100.181,0.22,1.98,0.22
201703,610113,NEW CARS,1,0,100.699,100.699,100.699,27,18.4,21
201703,310215,LAGER 4 BOTTLES- PREMIUM,1,1,101.948,101.996,101.948,2,1.6,1.6
201703,630224,INTERNET DVDS,1,0,90.011,88.815,88.815,0.56,0.26,0.56
201703,510206,WOMENS BLOUSE/SHIRT 1,2,1,121.212,111.368,111.368,0.55,0.45,0.44
201703,630426,BOOK-NON-FICTION-PAPER-BACK,1,2,95.07,95.091,95.07,0.75,0.48,0.75
201703,220107,PUB -HOT MEAL,1,1,101.394,101.527,101.394,5.28,4.93,4.2
201703,410611,DOOR HANDLE-PACK FOR ONE DOOR,2,1,100.71,100.306,100.306,1.65,0.96,1.32
201703,211101,FRESH WHITE FISH FILLETS KG,1,1,103.309,103.699,103.309,0.56,0.58,0.42
201703,520318,SLIMMING CLUBS,1,0,100,100,100,1.2,1.12,0.9
201703,630146,BLU-RAY PLAYER,2,1,104.803,104.413,104.413,0.08,0.06,0.06
201703,510516,MEN'S TRAINING SHOE-SPORTSWEAR,2,1,102.288,101.459,101.459,1.1,1.04,0.9
201703,430358,ELECTRIC HEATER -SEASONAL,2,1,93.08,91.998,91.998,0.77,0.3,0.66
201703,212217,CHEWING/BUBBLE GUM-SINGLE PK,1,1,102.091,102.224,102.091,0.13,0.33,0.1
201703,410405,SCOTTISH SEWERAGE CHARGE,1,0,100,100,100,0.6,0.65,0.5
201703,430619,COMPLETE DRY DOG FOOD 1-3KG,1,1,110.747,109.363,110.747,1.04,1.12,0.91
201703,212520,FRESH VEG-MUSHROOMS-PER KG,1,1,100.076,100.144,100.076,0.52,0.54,0.4
201703,410107,UNIVERSITY ACCOMODATION FEES,1,0,100,100,100,3,0,2.4
201703,520130,SOLID GOLD RING 9CT,2,1,103.023,102.695,102.695,0.9,0.27,0.7
